MÊ;PRODUTO;PREÇO MÉDIO REVEN;;;;;;;;;;;;
jan/25;GASOLINA COMUM;6,18;;;;;;;;;;;;
jan/25;GLP;107,21;;;;;;;;;;;;
jan/25;GNV;4,65;;;;;;;;;;;;
jan/25;OLEO DIESEL;6,08;;;;;;;;;;;;
jan/25;OLEO DIESEL S10;6,16;;;;;;;;;;;;
fev/25;ETANOL HIDRATADO;4,38;;;;;;;;;;;;
fev/25;GASOLINA ADITIVADA;6,56;;;;;;;;;;;;
fev/25;GASOLINA COMUM;6,36;;;;;;;;;;;;
fev/25;GLP;107,24;;;;;;;;;;;;
fev/25;GNV;4,68;;;;;;;;;;;;
fev/25;OLEO DIESEL;6,38;;;;;;;;;;;;
fev/25;OLEO DIESEL S10;6,46;;;;;;;;;;;;
mar/25;ETANOL HIDRATADO;4,35;;;;;;;;;;;;
mar/25;GASOLINA ADITIVADA;6,55;;;;;;;;;;;;
mar/25;GASOLINA COMUM;6,34;;;;;;;;;;;;
mar/25;GLP;107,31;;;;;;;;;;;;
mar/25;GNV;4,68;;;;;;;;;;;;
mar/25;OLEO DIESEL;6,35;;;;;;;;;;;;
mar/25;OLEO DIESEL S10;6,42;;;;;;;;;;;;
abr/25;ETANOL HIDRATADO;4,31;;;;;;;;;;;;
abr/25;GASOLINA ADITIVADA;6,52;;;;;;;;;;;;
abr/25;GASOLINA COMUM;6,32;;;;;;;;;;;;
abr/25;GLP;107,50;;;;;;;;;;;;
abr/25;GNV;4,66;;;;;;;;;;;;
abr/25;OLEO DIESEL;6,22;;;;;;;;;;;;
abr/25;OLEO DIESEL S10;6,29;;;;;;;;;;;;
mai/25;ETANOL HIDRATADO;4,29;;;;;;;;;;;;
mai/25;GASOLINA ADITIVADA;6,49;;;;;;;;;;;;
mai/25;GASOLINA COMUM;6,28;;;;;;;;;;;;
mai/25;GLP;108,59;;;;;;;;;;;;
mai/25;GNV;4,65;;;;;;;;;;;;
mai/25;OLEO DIESEL;6,06;;;;;;;;;;;;
mai/25;OLEO DIESEL S10;6,12;;;;;;;;;;;;
jun/25;ETANOL HIDRATADO;4,20;;;;;;;;;;;;
jun/25;GASOLINA ADITIVADA;6,44;;;;;;;;;;;;
jun/25;GASOLINA COMUM;6,23;;;;;;;;;;;;
jun/25;GLP;108,63;;;;;;;;;;;;
jun/25;GNV;4,66;;;;;;;;;;;;
jun/25;OLEO DIESEL;5,97;;;;;;;;;;;;
jun/25;OLEO DIESEL S10;6,04;;;;;;;;;;;;
jul/25;ETANOL HIDRATADO;4,16;;;;;;;;;;;;
jul/25;GASOLINA ADITIVADA;6,41;;;;;;;;;;;;
jul/25;GASOLINA COMUM;6,21;;;;;;;;;;;;
jul/25;GLP;108,45;;;;;;;;;;;;
jul/25;GNV;4,66;;;;;;;;;;;;
jul/25;OLEO DIESEL;5,97;;;;;;;;;;;;
jul/25;OLEO DIESEL S10;6,03;;;;;;;;;;;;
ago/25;ETANOL HIDRATADO;4,17;;;;;;;;;;;;
ago/25;GASOLINA ADITIVADA;6,40;;;;;;;;;;;;
ago/25;GASOLINA COMUM;6,19;;;;;;;;;;;;
ago/25;GLP;108,10;;;;;;;;;;;;
ago/25;GNV;4,57;;;;;;;;;;;;
ago/25;OLEO DIESEL;6,00;;;;;;;;;;;;
ago/25;OLEO DIESEL S10;6,06;;;;;;;;;;;;
set/25;ETANOL HIDRATADO;4,26;;;;;;;;;;;;
set/25;GASOLINA ADITIVADA;6,40;;;;;;;;;;;;
set/25;GASOLINA COMUM;6,19;;;;;;;;;;;;
set/25;GLP;109,10;;;;;;;;;;;;
set/25;GNV;4,55;;;;;;;;;;;;
set/25;OLEO DIESEL;5,99;;;;;;;;;;;;
set/25;OLEO DIESEL S10;6,06;;;;;;;;;;;;
out/25;ETANOL HIDRATADO;4,28;;;;;;;;;;;;
out/25;GASOLINA ADITIVADA;6,42;;;;;;;;;;;;
out/25;GASOLINA COMUM;6,20;;;;;;;;;;;;
out/25;GLP;110,30;;;;;;;;;;;;
out/25;GNV;4,54;;;;;;;;;;;;
out/25;OLEO DIESEL;5,98;;;;;;;;;;;;
out/25;OLEO DIESEL S10;6,05;;;;;;;;;;;;
nov/25;ETANOL HIDRATADO;4,30;;;;;;;;;;;;
nov/25;GASOLINA ADITIVADA;6,39;;;;;;;;;;;;
nov/25;GASOLINA COMUM;6,17;;;;;;;;;;;;
nov/25;GLP;110,34;;;;;;;;;;;;
nov/25;GNV;4,51;;;;;;;;;;;;
nov/25;OLEO DIESEL;6,00;;;;;;;;;;;;
nov/25;OLEO DIESEL S10;6,07;;;;;;;;;;;;
dez/25;ETANOL HIDRATADO;4,42;;;;;;;;;;;;
dez/25;GASOLINA ADITIVADA;6,40;;;;;;;;;;;;
dez/25;GASOLINA COMUM;6,19;;;;;;;;;;;;
dez/25;GLP;110,22;;;;;;;;;;;;
dez/25;GNV;4,49;;;;;;;;;;;;
dez/25;OLEO DIESEL;6,01;;;;;;;;;;;;
dez/25;OLEO DIESEL S10;6,07;;;;;;;;;;;;
jan/26;ETANOL HIDRATADO;4,59;;;;;;;;;;;;
jan/26;GASOLINA ADITIVADA;6,54;;;;;;;;;;;;
jan/26;GASOLINA COMUM;6,32;;;;;;;;;;;;
jan/26;GLP;110,31;;;;;;;;;;;;
jan/26;GNV;4,47;;;;;;;;;;;;
jan/26;OLEO DIESEL;6,05;;;;;;;;;;;;
jan/26;OLEO DIESEL S10;6,12;;;;;;;;;;;;
fev/26;ETANOL HIDRATADO;4,64;;;;;;;;;;;;
fev/26;GASOLINA ADITIVADA;6,51;;;;;;;;;;;;
fev/26;GASOLINA COMUM;6,30;;;;;;;;;;;;
fev/26;GLP;110,00;;;;;;;;;;;;
fev/26;GNV;4,36;;;;;;;;;;;;
fev/26;OLEO DIESEL;6,04;;;;;;;;;;;;
fev/26;OLEO DIESEL S10;6,10;;;;;;;;;;;;
